underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2019-05-14,SPXW,2019-05-15,2350.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1973,0.05,2838.63,2839.31,0,0.00,1814,0.05,2799.12,2865.45,0.00,2196,0
^SPX,2019-05-14,SPXW,2019-05-15,2375.000,C,0.00,0.00,0.00,0.00,0,10,462.70,10,465.00,2838.63,2839.31,20,453.20,2,470.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2375.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1969,0.05,2838.63,2839.31,0,0.00,1763,0.05,2799.12,2865.45,0.00,5678,0
^SPX,2019-05-14,SPXW,2019-05-15,2400.000,C,0.00,0.00,0.00,0.00,0,10,437.70,10,439.80,2838.63,2839.31,20,428.20,2,445.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2400.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1921,0.05,2838.63,2839.31,0,0.00,1716,0.05,2799.12,2865.45,0.00,1110,0
^SPX,2019-05-14,SPXW,2019-05-15,2410.000,C,0.00,0.00,0.00,0.00,0,10,427.70,10,430.00,2838.63,2839.31,1,419.10,2,435.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2410.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1120,0.05,2838.63,2839.31,0,0.00,916,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2420.000,C,0.00,0.00,0.00,0.00,0,10,417.70,10,419.80,2838.63,2839.31,20,408.20,2,425.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2420.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1022,0.05,2838.63,2839.31,0,0.00,915,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2425.000,C,0.00,0.00,0.00,0.00,0,10,412.70,10,415.00,2838.63,2839.31,20,403.20,2,420.90,2799.12,2865.45,0.00,0,0
